-1,STE,45.419112,-75.677979,45.419358,-75.679391,113.05,,,,,,,
-2,0,Floor 0 (Basement),87.3636,126.4472,28.1403,4.9808,,,,,,,
0,0.4162,2.0007,L,1,19.5117,17,5,,,,,,
1,0.4162,21.5124,,0,19.5117,2,17.3366,16,33.69351639,,,,
2,17.7528,21.5124,S,1,17.3366,3,4.882257322,21,5,,,,
3,21.5518,24.579,X,2,4.882257322,4,6.307030909,5044,3.3,,,,
4,22.1351,30.859,X,3,6.307030909,5,6,5070,2.6,,,,
5,22.1351,36.859,X,4,6,6,6.1026,5069,2.5,,,,
6,22.1351,42.9616,X,5,6.1026,7,6.0758,5068,3,,,,
7,22.1351,49.0374,X,6,6.0758,8,9.1729,5045,2.5,,,,
8,22.1351,58.2103,BS,7,9.1729,9,7.401303172,26,20,,,,
9,20.6678,65.465,S,8,7.401303172,10,6.274159406,35,5.13337334,,,,
10,21.8618,71.6242,,9,6.274159406,11,16.30978858,12,20.32450616,15,21.20574318,,
11,36.2175,63.8832,X,10,16.30978858,,,,,,,,
12,21.0281,91.9316,L,11,31.8971882,13,20.3256,,,,,,
13,0.7025,91.9316,,12,20.3256,14,19.0001,15,18.9047,,,,
14,0.7025,110.9317,L,13,19.0001,30,5,,,,,,
15,0.7025,73.0269,S,10,21.20574318,13,18.9047,16,17.8222,,,,
16,0.7025,55.2047,BS,15,17.8222,1,33.69351639,37,4.08981013,,,,
-2,1,Floor 1 (Ground level),85.5447,123.8147,27.1922,2.9249,,,,,,,
17,0.3705,1.5788,L,18,11.8193,0,5,,,,,,
18,0.3705,13.3981,X,17,11.8193,19,11.36262179,34,13.40918549,5000,5.7,,
19,11.6655,12.1603,,18,11.36262179,20,9.4128,,,,,,
20,11.6655,21.5731,,19,9.4128,21,10.3193,,,,,,
21,21.9848,21.5731,S,20,10.3193,22,32.91303526,2,5,,,,
22,22.7975,54.4761,,21,32.91303526,23,10.27573718,25,22.6789,,,,
23,13.0538,57.7397,,22,10.27573718,24,12.27097222,,,,,,
24,7.6999,68.7811,,23,12.27097222,25,17.26440636,38,9.757813941,,,,
25,22.7975,77.155,,22,22.6789,24,17.26440636,26,12.91624577,27,14.94794044,,
26,35.5523,75.1192,SX,25,12.91624577,8,20,5011,3.2,,,,
27,21.8598,92.0735,LX,25,14.94794044,40,15.58,,,,,,
28,-0.4573,86.4938,X,29,11.87820601,39,11.24099586,5009,6.5,,,,
29,0.4249,98.3392,X,28,11.87820601,30,11.9326,5010,6,,,,
30,0.4249,110.2718,LX,29,11.9326,14,5,,,,,,
31,0.9727,54.5637,B,38,10.12657268,32,9.16279884,5005,9.2,,,,
32,-0.943,45.6034,SX,31,9.16279884,33,7.061792912,5005,7.9,,,,
33,0.1962,38.6341,X,32,7.061792912,34,11.86570347,5004,7.21,,,,
34,-0.416,26.7842,X,18,13.40918549,33,11.86570347,5003,6.5,,,,
35,16.8306,62.0548,S,36,7.397366846,9,5.13337334,,,,,,
36,11.1901,57.2688,,35,7.397366846,37,6.600091136,,,,,,
37,4.7002,56.0678,S,36,6.600091136,16,4.08981013,,,,,,
38,-1.0608,64.484,SX,24,9.757813941,31,10.12657268,39,10.81460755,5007,6.44,,
39,-0.1222,75.2578,X,28,11.24099586,38,10.81460755,5008,7,,,,
-2,0,Floor 2,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,0,Floor 3,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,0,Floor 4,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,5,Floor 5,107.5491,162.8721,45.5656,103.7386,,,,,,,
-1,CBY,45.41987,-75.679394,45.419636,-75.679915,48.03,,,,,,,
-2,0,Floor 0,104.0831,166.8747,37.9774,98.2131,,,,,,,
61,-0.84,-58,X,118,11.77,5039,1.5,,,,,,
62,-0.84,-40.55,,118,5.68,63,22.17,64,36.51315516,,,,
63,21.33,-40.55,,62,22.17,,,,,,,,
64,-0.36,-4.04,,65,9.506361028,62,36.51315516,,,,,,
65,8.94,-6.01,,64,9.506361028,76,18.09,66,25.13506117,119,10.77235814,,
66,34.06,-6.88,,65,25.13506117,67,7.96,68,24.08,,,,
67,34.06,-14.84,,66,7.96,,,,,,,,
68,34.06,17.2,,66,24.08,69,4.836238208,72,17.64272655,,,,
69,38.8,18.16,,68,6.190072697,70,14.53079489,,,,,,
70,39.36,32.68,,69,14.53079489,71,22.80420356,,,,,,
71,55.5,48.79,X,70,22.80420356,81,1,,,,,,
72,16.43,17.87,,68,17.64272655,74,13.02,75,6.420001246,,,,
73,16.43,47.72,S,74,16.83,59,5,,,,,,
74,16.43,30.89,B,72,13.02,73,16.83,,,,,,
75,10.01,17.87,,72,6.420001246,76,5.88410537,,,,,,
76,8.94,12.08,L,75,5.88410537,65,18.09,77,10.57592076,78,11.48568674,48,5
77,2.2,3.93,S,76,10.57592076,78,12.558523,119,4.503876108,,,,
78,-1.93,15.79,L,76,11.48568674,77,12.558523,79,9.019678487,51,5,,
79,-7.48,22.9,,78,9.019678487,80,8.212435692,,,,,,
80,-3.44,30.05,S,79,8.212435692,54,5,,,,,,
118,-0.84,-46.23,S,61,11.77,62,5.68,,,,,,
119,0,0,L,64,4.05600789,77,4.503876108,46,5,,,,
-2,1,Floor 1,107.5491,162.8721,45.5656,103.7386,,,,,,,
40,-44.31,-2.52,,41,10.53590053,27,15.58,,,,,,
41,-36.87,-9.98,S,40,10.53590053,42,16.39,,,,,,
42,-20.48,-9.98,,41,16.39,43,10.12,45,14.09,,,,
43,-10.36,-9.98,,42,10.12,44,14.19,,,,,,
44,-10.36,4.21,,43,14.19,45,10.12049406,46,11.98,,,,
45,-20.48,4.11,,42,14.09,44,10.12049406,,,,,,
46,1.62,4.21,LS,44,11.98,47,7.1087833,50,9.541724163,119,5,,
47,8.64,5.33,X,46,7.1087833,48,5.738884909,50,11.945045,5063,5,,
48,9.46,11.01,BL,47,5.738884909,49,19.03220954,50,9.774891304,76,5,,
49,9.17,30.04,,48,19.03220954,58,7.02,,,,,,
50,0.04,13.62,S,46,9.541724163,47,11.945045,48,9.774891304,51,5.416733333,,
51,-3.75,17.49,L,50,5.416733333,52,4.214380144,60,5.695937149,78,5,,
52,-4.36,21.66,B,51,4.214380144,53,8.492661538,,,,,,
53,-4.98,30.13,,52,8.492661538,54,4,55,11.64,,,,
54,-0.98,30.13,S,53,4,80,5,,,,,,
55,-16.62,30.13,,53,11.64,56,12.38,,,,,,
56,-16.62,17.75,,55,12.38,57,3.49,60,7.18,,,,
57,-16.62,14.26,S,56,3.49,,,,,,,,
58,16.19,30.04,,49,7.02,59,17.12,,,,,,
59,16.19,47.16,SX,58,17.12,5073,5,73,5,,,,
60,-9.44,17.75,B,51,5.695937149,56,7.18,,,,,,
-2,0,Floor 2,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,0,Floor 3,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,0,Floor 4,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,5,Floor 5,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,6,Floor 6,107.5491,162.8721,45.5656,103.7386,,,,,,,
-1,STM,45.420207,-75.679996,45.420363,-75.680131,20.28,,,,,,,
-2,0,Floor 00,27.7153,43.4803,11.5009,27.2481,,,,,,,
81,9.37,-12.83,X,82,3.35,71,1,,,,,,
82,9.37,-9.48,,81,3.35,83,10.45,116,4.58,,,,
83,9.37,0.97,,82,10.45,84,4.45,85,6.98,116,5.87,,
84,13.82,0.97,,83,4.45,,,,,,,,
85,2.39,0.97,,83,6.98,86,6,87,2.122498528,88,1.883215336,,
86,2.39,-5.03,,85,6,,,,,,,,
87,0.84,-0.48,L,85,2.122498528,88,3.418844834,94,5,,,,
88,1.87,2.78,,85,1.883215336,87,3.418844834,89,1.503063538,90,4.28,,
89,2.51,4.14,S,88,1.503063538,95,5,,,,,,
90,-2.41,2.78,B,88,4.28,91,4.91,,,,,,
91,-7.32,2.78,,90,4.91,,,,,,,,
116,9.37,-4.9,S,82,4.58,83,5.87,115,10,,,,
-2,1,Floor 0,30.4963,44.4186,14.8,27.0255,,,,,,,
92,1.83,-10.64,X,93,4.71,5033,1,,,,,,
93,1.83,-5.93,S,92,4.71,94,5.370772756,106,5,,,,
94,1.49,-0.57,L,93,5.370772756,95,3.626678922,105,5,,,,
95,1.71,3.05,,94,3.626678922,97,12.53,98,4.439065217,102,4.103291362,89,5
96,14.24,-2.61,,97,5.66,,,,,,,,
97,14.24,3.05,,95,12.53,96,5.66,,,,,,
98,0.93,7.42,,95,4.439065217,99,13.18066007,,,,,,
99,-12.24,6.89,,98,13.18066007,100,2.401416249,,,,,,
100,-14.62,6.57,X,99,2.401416249,,,,,,,,
101,-11.67,3.02,,117,4.642423936,,,,,,,,
102,-2.38,2.72,B,95,4.103291362,117,4.652418726,,,,,,
117,-7.03,2.87,S,101,4.642423936,102,4.652418726,,,,,,
-2,2,Floor 1,29.6045,44.2312,13.9224,25.6126,,,,,,,
103,1.76,6.32,X,104,3.92,5028,2,,,,,,
104,1.76,2.4,,103,3.92,105,2.951152317,106,3.842512199,107,4.598314909,113,7.495445284
105,0.89,-0.42,L,104,2.951152317,106,1.74183811,94,5,,,,
106,2.33,-1.4,S,105,1.74183811,107,3.6138622,93,5,,,,
107,5.67,-0.02,S,104,4.598314909,106,3.6138622,108,6.190072697,,,,
108,11.86,0.01,,107,6.190072697,115,7.150699267,,,,,,
109,11.86,-10.78,,110,17.22316173,115,9.502641738,,,,,,
110,-5.36,-11.11,,109,17.22316173,111,4.62,,,,,,
111,-5.36,-6.49,,110,4.62,112,6.56,,,,,,
112,-5.36,0.07,B,111,6.56,113,3.255764119,,,,,,
113,-5.68,3.31,,112,3.255764119,114,2.78,104,7.495445284,,,,
114,-8.46,3.31,,113,2.78,,,,,,,,
115,5.67,-3.57,S,108,7.150699267,109,9.502641738,116,10,,,,
-2,2,Floor 1,29.6045,44.2312,13.9224,25.6126,,,,,,,
-2,2,Floor 2,29.6045,44.2312,13.9224,25.6126,,,,,,,
-2,2,Floor 3,29.6045,44.2312,13.9224,25.6126,,,,,,,
-2,2,Floor 4,29.6045,44.2312,13.9224,25.6126,,,,,,,
-2,2,Floor 5,29.6045,44.2312,13.9224,25.6126,,,,,,,
-1,OUT,,,,,,,,,,,,
5000,48.56,-42.11,X,5002,9.521228912,18,5.7,,,,,,
5001,44.53,-56.37,,5002,10.99322064,5006,42.79068357,,,,,,
5002,40.03,-46.34,,5000,9.521228912,5001,10.99322064,5003,6.017840144,,,,
5003,36.15,-41.74,X,5002,6.017840144,5004,12.16244219,34,6.5,,,,
5004,24.12,-39.95,X,5003,12.16244219,5005,11.48906001,33,7.21,,,,
5005,12.96,-37.22,X,5004,11.48906001,5007,12.12223164,32,7.9,31,9.2,,
5006,3.18,-45.36,,5001,42.79068357,5012,63.40889291,,,,,,
5007,1.14,-34.53,X,5005,12.12223164,5008,12.3849788,38,6.44,,,,
5008,-10.8,-31.24,X,5007,12.3849788,5009,12.06371419,39,7,,,,
5009,-22.16,-27.18,X,5008,12.06371419,5010,12.88177395,28,6.5,,,,
5010,-34.56,-23.69,X,5009,12.88177395,5011,10.33512941,29,6,,,,
5011,-44.06,-19.62,X,5010,10.33512941,5012,12.91258688,30,3.2,,,,
5012,-56.36,-23.55,,5011,12.91258688,5013,47.2274507,,,,,,
5013,-99.31,-3.91,,5012,47.2274507,5014,60.84335625,5059,27.87330264,,,,
5014,-150.67,28.71,,5013,60.84335625,5015,54.88597726,,,,,,
5015,-195.06,60.99,,5014,54.88597726,5016,32.88870931,5031,29.67962601,,,,
5016,-214.62,87.43,,5015,32.88870931,5017,43.60386451,,,,,,
5017,-238.49,123.92,,5016,43.60386451,5018,20.1446097,,,,,,
5018,-235.92,143.9,,5017,20.1446097,5019,16.76221047,,,,,,
5019,-222.46,153.89,,5018,16.76221047,5020,15.35349472,,,,,,
5020,-213.73,141.26,,5019,15.35349472,5021,17.89477019,5022,27.00418486,,,,
5021,-198.31,132.18,,5020,17.89477019,5022,14.13978783,5023,24.57839702,,,,
5022,-199.81,118.12,X,5020,27.00418486,5021,14.13978783,,,,,,
5023,-175.07,140.18,,5021,24.57839702,5024,15.46508325,5025,24.0736578,,,,
5024,-165.05,128.4,X,5023,15.46508325,5025,11.60131889,,,,,,
5025,-153.5,129.49,,5023,24.0736578,5024,11.60131889,5026,19.91448217,5030,36.32305191,,
5026,-135.71,138.44,,5025,19.91448217,5027,21.96579614,5028,31.27711304,,,,
5027,-128.92,159.33,,5026,21.96579614,5029,39.53734943,,,,,,
5028,-138.74,107.31,X,5026,31.27711304,5030,25.55776399,5066,19.40849556,103,2,,
5029,-108.64,125.39,,5027,39.53734943,5032,54.04780199,,,,,,
5030,-160.46,93.84,,5025,36.32305191,5031,18.31250119,5067,12.78151791,,,,
5031,-175.35,83.18,,5030,18.31250119,5015,29.67962601,,,,,,
5032,-80.79,79.07,,5029,54.04780199,5033,41.63411101,5036,7.161801449,,,,
5033,-117.05,58.61,X,5032,41.63411101,5035,11.29967256,92,1,,,,
5034,-133.28,40.25,,5035,24.478368,5059,31.84401514,,,,,,
5035,-110.56,49.36,,5033,11.29967256,5034,24.478368,5036,40.90607779,5059,26.65106377,,
5036,-77.12,72.92,,5032,7.161801449,5035,40.90607779,5037,23.5395943,5064,11.77388636,,
5037,-55.53,82.3,,5036,23.5395943,5038,45.3121231,5064,17.53164282,,,,
5038,-16.04,104.52,,5037,45.3121231,5039,40.86812205,,,,,,
5039,5.01,69.49,X,5038,40.86812205,5040,35.25142267,61,1.5,,,,
5040,24.03,39.81,,5039,35.25142267,5041,20.24625397,5048,16.69713748,,,,
5041,37.15,24.39,,5040,20.24625397,5042,19.38570607,,,,,,
5042,45.49,6.89,,5041,19.38570607,5043,23.2980879,5044,18.71812223,,,,
5043,57.49,-13.08,,5042,23.2980879,5044,16.25127687,,,,,,
5044,41.33,-11.36,X,5042,18.71812223,5043,16.25127687,5070,4.230189121,3,3.3,,
5045,19.88,-6.11,X,5046,16.1086871,5068,9.112639574,7,2.5,,,,
5046,14.75,9.16,,5045,16.1086871,5047,14.1734717,,,,,,
5047,2.87,16.89,X,5046,14.1734717,5048,15.86031526,5049,18.47569484,,,,
5048,9.73,31.19,,5047,15.86031526,5040,16.69713748,,,,,,
5049,-14.85,11.66,,5047,18.47569484,5050,23.90050209,,,,,,
5050,-36.11,0.74,,5049,23.90050209,5051,10.06214689,5065,13.27078747,,,,
5051,-46.13,1.66,,5050,10.06214689,5052,9.895473713,5053,8.729948453,,,,
5052,-54.61,-3.44,,5051,9.895473713,5072,7.42510606,,,,,,
5053,-49.07,9.88,SX,5051,8.729948453,5072,13.39003361,,,,,,
5054,-71.27,-0.53,S,5055,18.64367185,5072,11.71840006,,,,,,
5055,-81.54,15.03,S,5054,18.64367185,5056,14.02687777,,,,,,
5056,-93.56,7.8,S,5055,14.02687777,5057,9.011265172,,,,,,
5057,-99.21,14.82,,5056,9.011265172,5058,7.733130026,5059,10.97196883,,,,
5058,-92.83,19.19,,5057,7.733130026,5073,5.309105386,,,,,,
5059,-106.5,23.02,,5057,10.97196883,5013,27.87330264,5034,31.84401514,5035,26.65106377,,
5060,-12.01,35.71,,5071,21.10227713,5061,20.83946736,,,,,,
5061,-25.54,51.56,,5060,20.83946736,5062,16.77275171,,,,,,
5062,-41.3,57.3,,5061,16.77275171,5063,15.68071746,,,,,,
5063,-55.23,50.1,X,5062,15.68071746,5064,21.37387424,47,5,,,,
5064,-66.24,68.42,,5063,21.37387424,5036,11.77388636,5037,17.53164282,,,,
5065,-24.14,-4.99,SX,5050,13.27078747,,,,,,,,
5066,-122.1,117.3,S,5029,15.70413003,5028,19.40849556,,,,,,
5067,-149.6,100.58,S,5028,12.77624749,5030,12.78151791,,,,,,
5068,28.87,-7.6,X,5069,3.935136592,5045,9.112639574,6,3,,,,
5069,32.54,-9.02,X,5068,3.935136592,5070,4.86596342,5,2.5,,,,
5070,37.24,-10.28,X,5044,4.230189121,5069,4.86596342,4,2.6,,,,
5071,-5.46,15.65,X,5060,21.10227713,,,,,,,,
5072,-59.8,1.87,S,5053,13.39003361,5054,11.71840006,5052,7.42510606,,,,
5073,-95.28,23.9,X,5058,5.309105386,59,5,,,,,,